Tag Number, birthyear, lambs in years 2016-2020
826_034284702562, 2015, [0, 2, 1, 1, 1]
826_034284702476, 2015, [0, 1, 2, 1, 1]
826_034284702514, 2015, [0, 2, 2, 1, 1]
826_034284702579, 2015, [0, 1, 1, 1, 1]
826_034284702470, 2015, [0, 2, 1, 0, 0]
826_034284702519, 2015, [0, 1, 1, 0, 0]
826_034284702516, 2015, [0, 1, 1, 1, 1]
826_034284702452, 2015, [0, 1, 1, 1, 1]
826_034284702543, 2015, [0, 1, 1, 1, 2]
826_034284702491, 2015, [0, 1, 1, 1, 1]
826_034284702536, 2015, [0, 1, 1, 1, 1]
826_034284702426, 2015, [0, 1, 1, 1, 1]
826_034284702436, 2015, [0, 1, 1, 2, 2]
826_034284702517, 2015, [0, 1, 1, 1, 2]
826_034284702447, 2015, [0, 2, 1, 2, 2]
826_034284702469, 2015, [0, 1, 2, 1, 2]
826_034284702544, 2015, [0, 1, 1, 2, 1]
826_034284702418, 2015, [0, 1, 2, 1, 2]
826_034284702576, 2015, [0, 1, 1, 2, 1]
826_034284702457, 2015, [0, 1, 1, 1, 2]
826_034284703173, 2015, [0, 1, 1, 1, 1]
826_034284702472, 2015, [0, 1, 2, 1, 2]
826_034284702499, 2015, [0, 1, 1, 1, 1]
826_034284702515, 2015, [0, 2, 1, 0, 0]
826_034284702520, 2015, [0, 1, 1, 1, 1]
826_034284702501, 2015, [0, 1, 1, 1, 1]
826_034284702438, 2015, [0, 1, 2, 0, 0]
826_034284702539, 2015, [0, 1, 1, 1, 1]
826_034284702500, 2015, [0, 1, 1, 1, 1]
826_034284702458, 2015, [0, 0, 2, 2, 2]
826_034284702444, 2015, [0, 0, 2, 1, 1]
826_034284702549, 2015, [0, 1, 1, 1, 1]
826_034284702530, 2015, [0, 1, 1, 1, 1]
826_034284702504, 2015, [0, 1, 2, 2, 2]
826_034284702481, 2015, [0, 1, 1, 1, 0]
826_034284702548, 2015, [0, 1, 2, 1, 1]
826_034284702507, 2015, [0, 2, 1, 2, 2]
826_034284702455, 2015, [0, 1, 1, 1, 2]
826_034284702532, 2015, [0, 2, 1, 1, 1]
826_034284702454, 2015, [0, 1, 1, 1, 1]
826_034284702512, 2015, [0, 1, 1, 1, 0]
826_034284703901, 2015, [0, 1, 1, 1, 1]
826_034284703386, 2016, [0, 0, 0, 1, 1]
826_034284703377, 2016, [0, 0, 2, 1, 1]
826_034284703378, 2016, [0, 0, 1, 1, 1]
826_034284703379, 2016, [0, 0, 1, 1, 1]
826_034284703362, 2016, [0, 0, 1, 1, 1]
826_034284703381, 2016, [0, 0, 1, 1, 1]
826_034284703388, 2016, [0, 0, 1, 1, 1]
826_034284703303, 2016, [0, 0, 1, 1, 2]
826_034284703320, 2016, [0, 0, 1, 0, 0]
826_034284703301, 2016, [0, 0, 1, 1, 1]
826_034284703311, 2016, [0, 0, 1, 0, 0]
826_034284703304, 2016, [0, 0, 2, 1, 1]
826_034284703353, 2016, [0, 0, 1, 1, 2]
826_034284703298, 2016, [0, 0, 1, 1, 2]
826_034284703356, 2016, [0, 0, 0, 1, 1]
826_034284703292, 2016, [0, 0, 1, 1, 1]
826_034284703300, 2016, [0, 0, 1, 1, 1]
826_034284703360, 2016, [0, 0, 1, 1, 1]
826_034284703322, 2016, [0, 0, 0, 1, 2]
826_034284703323, 2016, [0, 0, 1, 1, 1]
826_034284703316, 2016, [0, 0, 1, 1, 1]
826_034284703317, 2016, [0, 0, 1, 2, 2]
826_034284703481, 2016, [0, 0, 1, 1, 0]
826_034284703412, 2016, [0, 0, 1, 1, 1]
826_034284703357, 2016, [0, 0, 2, 0, 0]
826_034284703470, 2016, [0, 0, 1, 1, 2]
826_034284703358, 2016, [0, 0, 1, 1, 0]
826_034284703350, 2016, [0, 0, 2, 1, 2]
826_034284703472, 2016, [0, 0, 1, 1, 2]
826_034284703514, 2016, [0, 0, 1, 1, 2]
826_034284703346, 2016, [0, 0, 2, 2, 1]
826_034284703332, 2016, [0, 0, 1, 1, 1]
826_034284703479, 2016, [0, 0, 1, 1, 2]
826_034284703330, 2016, [0, 0, 2, 1, 0]
826_034284703328, 2016, [0, 0, 1, 0, 0]
826_034284703348, 2016, [0, 0, 1, 1, 2]
826_034284703411, 2016, [0, 0, 0, 2, 1]
826_034284703315, 2016, [0, 0, 1, 1, 2]
826_034284703327, 2016, [0, 0, 1, 1, 2]
826_034284703475, 2016, [0, 0, 1, 1, 2]
826_034284703342, 2016, [0, 0, 2, 1, 2]
826_034284703344, 2016, [0, 0, 1, 1, 2]
826_034284703898, 2016, [0, 0, 1, 1, 2]
826_034284703473, 2016, [0, 0, 1, 1, 1]
826_034284703341, 2016, [0, 0, 2, 1, 1]
826_034284703340, 2016, [0, 0, 1, 1, 1]
826_034284703338, 2016, [0, 0, 1, 1, 0]
826_034284703339, 2016, [0, 0, 2, 1, 0]
826_034284703483, 2016, [0, 0, 1, 2, 1]
826_034284703474, 2016, [0, 0, 2, 1, 0]
826_034284703684, 2017, [0, 0, 0, 1, 1]
826_034284703742, 2017, [0, 0, 0, 1, 1]
826_034284703744, 2017, [0, 0, 0, 0, 1]
826_034284703703, 2017, [0, 0, 0, 1, 0]
826_034284703743, 2017, [0, 0, 0, 1, 1]
826_034284703705, 2017, [0, 0, 0, 0, 1]
826_034284703750, 2017, [0, 0, 0, 0, 2]
826_034284703686, 2017, [0, 0, 0, 1, 1]
826_034284703685, 2017, [0, 0, 0, 1, 1]
826_034284703710, 2017, [0, 0, 0, 1, 1]
826_034284703706, 2017, [0, 0, 0, 1, 1]
826_034284703707, 2017, [0, 0, 1, 1, 1]
826_034284703696, 2017, [0, 0, 0, 1, 1]
826_034284703848, 2017, [0, 0, 0, 1, 1]
826_034284703708, 2017, [0, 0, 0, 1, 0]
826_034284703731, 2017, [0, 0, 0, 1, 1]
826_034284703693, 2017, [0, 0, 0, 1, 1]
826_034284703754, 2017, [0, 0, 0, 1, 1]
826_034284703755, 2017, [0, 0, 0, 1, 1]
826_034284703756, 2017, [0, 0, 0, 1, 0]
826_034284703734, 2017, [0, 0, 0, 0, 1]
826_034284703722, 2017, [0, 0, 0, 1, 1]
826_034284703714, 2017, [0, 0, 0, 1, 1]
826_034284703780, 2017, [0, 0, 0, 1, 1]
826_034284703712, 2017, [0, 0, 0, 1, 1]
